Rank (Borda),Model,Zero-shot,Total Parameters (B),Mean (Task),Mean (TaskType),AngryTweetsClassification,BornholmBitextMining,DKHateClassification,DanFeverRetrieval,DanishPoliticalCommentsClassification,LccSentimentClassification,MassiveIntentClassification,MassiveScenarioClassification,NordicLangClassification,ScalaClassification,TV2Nordretrieval,TwitterHjerneRetrieval
185,cointegrated/rubert-tiny2,100,0.029,,,43.84,37.66,54.07,,27.9,38.73,27.22,34.43,46.52,50.1,8.34,2.08
186,DeepPavlov/distilrubert-small-cased-conversational,100,0.107,,,42.73,13.33,54.8,,27.46,42.87,40.96,39.37,59.34,49.98,4.63,1.3
187,nomic-ai/nomic-embed-text-v2-moe,-1,0.475,,,,40.45,,,,,60.66,,61.45,50.71,,67.93
188,cointegrated/rubert-tiny,100,0.012,,,41.09,22.12,55.32,,27.63,36.2,40.38,40.42,54.8,50.17,7.17,2.06
189,BidirLM/BidirLM-270M-Embedding,100,0.268,,,,36.87,,,,,61.69,,60.39,51.31,,57.12
190,minishlab/potion-base-8M,100,0.008,,,42.45,25.93,51.43,,26.55,34.93,37.84,44.0,59.76,50.04,49.61,2.07
191,ai-forever/ru-en-RoSBERTa,100,0.404,,,43.18,26.98,55.59,,28.38,39.53,32.42,37.56,48.94,49.91,41.15,3.85
192,DeepPavlov/rubert-base-cased,100,1.28,,,43.11,12.61,50.3,,26.26,38.0,35.21,34.05,60.75,50.12,1.53,7.56
193,minishlab/potion-base-4M,100,0.004,,,41.4,22.05,51.28,,26.42,34.93,34.69,41.14,58.66,50.16,43.95,2.08
194,Snowflake/snowflake-arctic-embed-m-v1.5,100,0.109,,,42.33,22.36,56.6,,26.35,39.07,37.59,45.43,48.11,49.98,55.58,4.72
195,izhx/udever-bloom-1b1,100,1.065,,,44.39,21.91,,,27.83,36.87,,,59.31,50.36,12.31,10.37
196,ai-forever/sbert_large_mt_nlu_ru,100,0.427,,,44.35,17.0,55.11,,27.26,42.0,20.97,29.35,38.2,50.2,1.88,2.04
197,silma-ai/silma-embeddding-matryoshka-v0.1,-1,0.135,,,38.67,16.98,53.01,,26.49,40.13,32.93,34.24,44.56,50.3,18.1,3.7
198,Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet,100,0.109,,,42.76,20.9,52.8,,27.21,38.33,35.5,36.37,49.09,50.11,21.23,1.96
199,Mira190/Euler-Legal-Embedding-V1,100,7.567,,,,59.17,,,,,69.46,,65.2,50.24,,
200,Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka,100,0.163,,,43.05,18.85,53.46,,26.3,39.73,36.27,37.33,46.77,50.12,2.77,1.93
201,DeepPavlov/rubert-base-cased-sentence,100,0.107,,,40.25,15.6,54.65,,27.05,37.0,32.65,32.78,51.39,50.2,9.39,3.56
202,zeroentropy/zembed-1,-1,4.022,,,,27.05,,,,,56.66,,54.67,50.94,,77.56
203,mteb/baseline-random-encoder,100,0.0,17.9,9.25,32.15,0.07,48.94,0.41,20.44,32.53,1.91,5.71,18.69,50.22,0.14,3.55
204,jinaai/jina-embedding-b-en-v1,100,0.11,,,42.55,30.13,,,30.13,39.33,,,42.15,50.13,48.89,4.19
205,minishlab/M2V_base_glove,100,0.102,,,40.24,14.12,47.08,,25.11,39.07,30.67,36.35,52.27,50.13,23.81,0.82
206,minishlab/potion-base-2M,100,0.002,,,40.37,16.52,51.43,,25.62,36.73,29.45,35.46,55.19,50.07,32.41,1.78
207,infly/inf-retriever-v1,100,7.069,,,,,,39.68,,,,,,,94.41,79.3
208,Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka,100,0.135,,,39.99,18.15,54.44,,26.23,34.07,36.91,38.7,46.34,50.13,10.24,1.78
209,jinaai/jina-embeddings-v2-small-en,100,0.033,,,40.55,17.53,,,27.21,37.4,36.89,36.05,50.33,50.23,1.16,2.54
210,ai-forever/sbert_large_nlu_ru,100,0.427,,,44.11,12.6,54.16,,26.55,38.87,18.03,26.58,39.41,49.94,1.64,1.44
211,consciousAI/cai-lunaris-text-embeddings,-1,0.335,,,38.48,13.46,51.79,,25.24,35.53,34.73,37.06,47.62,50.02,22.76,3.38
212,jinaai/jina-embedding-s-en-v1,100,0.035,,,40.57,35.91,,,28.8,35.73,,,39.38,50.0,48.32,3.47
213,infly/inf-retriever-v1-1.5b,100,1.543,,,,,,38.64,,,,,,,89.56,70.46
214,ibm-granite/granite-embedding-311m-multilingual-r2,100,0.312,,,,35.27,,,,,55.94,,43.32,50.0,,68.27
215,mteb/baseline-bm25s,-1,0.0,,,,,,38.51,,,,,,,89.77,25.96
216,ibm-granite/granite-embedding-97m-multilingual-r2,100,0.097,,,,26.64,,,,,49.54,,41.4,50.19,,56.71
217,Hum-Works/lodestone-base-4096-v1,100,0.137,,,38.42,8.21,,,27.45,31.13,13.14,15.99,35.32,50.49,,1.96
218,malenia1/ternary-weight-embedding,-1,0.099,,,41.71,18.07,,,26.13,35.2,34.16,33.56,47.66,49.9,1.14,1.9
219,izhx/udever-bloom-560m,100,0.559,,,40.61,11.73,,,24.87,33.27,,,49.08,50.25,1.82,0.44
220,cnmoro/static-nomic-384-pten-v2-st,100,0.106,,,,31.48,,,,,52.82,,49.18,49.97,,29.33
221,google/gemini-embedding-2-preview,100,,,,,91.67,,,,59.33,,,,,,
222,Kingsoft-LLM/QZhou-Embedding,83,7.071,,,,,,,,,69.0,84.37,,,,
223,LCO-Embedding/LCO-Embedding-Omni-7B,100,8.932,,,,,,,,,68.25,74.69,,,,
224,jinaai/jina-embeddings-v2-base-en,100,0.137,,,36.78,0.62,,,22.89,32.27,6.3,10.51,26.91,49.55,43.92,0.6
225,LCO-Embedding/LCO-Embedding-Omni-3B,100,4.703,,,,,,,,,61.89,69.37,,,,
225,Tevatron/OmniEmbed-v0.1,100,8.932,,,,,,,,,61.96,68.78,,,,
227,Haon-Chen/e5-omni-7B,100,8.932,,,,,,,,,60.31,69.42,,,,
228,Haon-Chen/e5-omni-3B,100,4.703,,,,,,,,,58.67,65.01,,,,
230,voyageai/voyage-3-large,100,,,,,,,,,,,,,,,85.97
231,geevec-ai/geevec-embeddings-1.0,-1,,,,,,,,,,,,,,,85.35
232,jinaai/jina-embeddings-v4,100,3.935,,,,,,,,,,,,,,84.38
233,geevec-ai/geevec-embeddings-1.0-lite,-1,0.366,,,,,,,,,,,,,,77.57
234,perplexity-ai/pplx-embed-v1-4b,100,4.0,,,,,,,,,,,,,,75.67
235,perplexity-ai/pplx-embed-v1-0.6b,100,0.596,,,,,,,,,,,,,,70.04
236,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,100,0.023,,,,,,,,,42.18,46.53,,,,
237,encord-team/ebind-full,100,1.79,,,,,,,,,39.76,49.19,,,,
238,w601sxs/b1ade-embed,100,0.335,,,,32.02,,,,,,,,,,
